Row,Expected,Predicted,Match
81,therapeutic,therapeutic,True
82,cell-phones,cell-phones,True
83,shared,wanted-housing,False
84,household-services,household-services,True
85,cell-phones,cell-phones,True
86,shared,shared,True
87,housing,shared,False
88,photography,photography,True
89,real-estate,therapeutic,False
90,cell-phones,cell-phones,True
91,childcare,childcare,True
92,wanted-housing,wanted-housing,True
93,shared,shared,True
94,cell-phones,cell-phones,True
95,shared,shared,True
96,shared,shared,True
97,cell-phones,cell-phones,True
98,household-services,household-services,True
99,housing,shared,False
100,shared,shared,True
101,therapeutic,therapeutic,True
102,therapeutic,therapeutic,True
103,household-services,real-estate,False
104,therapeutic,therapeutic,True
105,cell-phones,cell-phones,True
106,household-services,household-services,True
107,household-services,shared,False
108,real-estate,real-estate,True
109,appliances,appliances,True
110,therapeutic,therapeutic,True
111,cell-phones,cell-phones,True
112,therapeutic,therapeutic,True
113,real-estate,automotive,False
114,shared,shared,True
115,temporary,wanted-housing,False
116,real-estate,household-services,False
117,real-estate,household-services,False
118,wanted-housing,wanted-housing,True
119,photography,photography,True
120,shared,shared,True
121,temporary,shared,False
122,therapeutic,therapeutic,True
123,general,childcare,False
124,appliances,appliances,True
125,therapeutic,therapeutic,True
126,automotive,automotive,True
127,shared,shared,True
128,temporary,temporary,True
129,therapeutic,therapeutic,True
130,cell-phones,cell-phones,True
131,general,general,True
132,household-services,household-services,True
133,wanted-housing,wanted-housing,True
134,general,general,True
135,real-estate,general,False
136,video-games,video-games,True
137,temporary,temporary,True
138,cell-phones,cell-phones,True
139,photography,photography,True
140,automotive,therapeutic,False
141,household-services,household-services,True
142,appliances,appliances,True
143,household-services,household-services,True
144,household-services,automotive,False
145,wanted-housing,wanted-housing,True
146,therapeutic,therapeutic,True
147,appliances,appliances,True
148,wanted-housing,wanted-housing,True
149,cell-phones,cell-phones,True
150,temporary,temporary,True
151,cell-phones,cell-phones,True
152,general,wanted-housing,False
153,therapeutic,therapeutic,True
154,therapeutic,therapeutic,True
155,cell-phones,cell-phones,True
156,artists,general,False
157,temporary,shared,False
158,therapeutic,therapeutic,True
159,temporary,temporary,True
160,shared,shared,True
161,temporary,shared,False
162,wanted-housing,temporary,False
163,household-services,automotive,False
164,photography,appliances,False
165,wanted-housing,wanted-housing,True
166,shared,shared,True
167,video-games,video-games,True
168,temporary,shared,False
169,household-services,household-services,True
170,activities,general,False
171,shared,wanted-housing,False
172,shared,wanted-housing,False
173,automotive,automotive,True
174,wanted-housing,wanted-housing,True
175,childcare,childcare,True
176,cell-phones,appliances,False
177,cell-phones,cell-phones,True
178,general,wanted-housing,False
179,automotive,automotive,True
180,video-games,video-games,True
181,wanted-housing,wanted-housing,True
182,artists,childcare,False
183,appliances,appliances,True
184,therapeutic,therapeutic,True
185,artists,general,False
186,therapeutic,therapeutic,True
187,general,general,True
188,housing,shared,False
189,wanted-housing,wanted-housing,True
190,artists,artists,True
191,real-estate,automotive,False
192,household-services,household-services,True
193,childcare,childcare,True
194,automotive,automotive,True
195,photography,photography,True
196,automotive,automotive,True
197,therapeutic,therapeutic,True
198,photography,photography,True
199,general,general,True
200,artists,artists,True
201,video-games,video-games,True
202,wanted-housing,wanted-housing,True
203,therapeutic,therapeutic,True
204,appliances,appliances,True
205,childcare,childcare,True
206,cell-phones,cell-phones,True
207,cell-phones,appliances,False
208,therapeutic,shared,False
209,temporary,shared,False
210,automotive,automotive,True
211,wanted-housing,temporary,False
212,temporary,shared,False
213,shared,shared,True
214,real-estate,real-estate,True
215,therapeutic,therapeutic,True
216,shared,shared,True
217,cell-phones,appliances,False
218,therapeutic,therapeutic,True
219,automotive,automotive,True
220,childcare,childcare,True
221,wanted-housing,shared,False
222,photography,appliances,False
223,real-estate,real-estate,True
224,housing,housing,True
225,photography,photography,True
226,household-services,household-services,True
227,cell-phones,cell-phones,True
228,wanted-housing,wanted-housing,True
229,automotive,shared,False
230,shared,shared,True
231,childcare,childcare,True
232,shared,temporary,False
233,therapeutic,therapeutic,True
234,photography,photography,True
235,temporary,temporary,True
236,real-estate,real-estate,True
237,household-services,household-services,True
238,activities,childcare,False
239,household-services,automotive,False
240,wanted-housing,wanted-housing,True
241,general,general,True
242,appliances,appliances,True
243,photography,photography,True
244,photography,appliances,False
245,shared,shared,True
246,household-services,household-services,True
247,housing,temporary,False
248,childcare,childcare,True
249,real-estate,household-services,False
250,cell-phones,appliances,False
251,cell-phones,cell-phones,True
252,household-services,household-services,True
253,childcare,childcare,True
254,cell-phones,cell-phones,True
255,appliances,appliances,True
256,housing,shared,False
257,housing,housing,True
258,wanted-housing,therapeutic,False
259,therapeutic,therapeutic,True
260,household-services,household-services,True
261,appliances,appliances,True
262,cell-phones,cell-phones,True
263,cell-phones,cell-phones,True
264,appliances,appliances,True
265,shared,shared,True
266,general,general,True
267,appliances,appliances,True
268,childcare,childcare,True
269,activities,activities,True
270,photography,photography,True
271,temporary,shared,False
272,shared,shared,True
273,artists,shared,False
274,automotive,automotive,True
275,photography,photography,True
276,therapeutic,therapeutic,True
277,photography,photography,True
278,housing,shared,False
279,automotive,automotive,True
280,wanted-housing,shared,False
281,appliances,appliances,True
282,housing,temporary,False
283,video-games,video-games,True
284,automotive,automotive,True
285,shared,shared,True
286,automotive,automotive,True
287,therapeutic,therapeutic,True
288,childcare,childcare,True
289,cell-phones,cell-phones,True
290,general,childcare,False
291,housing,shared,False
292,shared,shared,True
293,temporary,temporary,True
294,childcare,childcare,True
295,general,general,True
296,photography,photography,True
297,photography,photography,True
298,household-services,household-services,True
299,real-estate,automotive,False
300,video-games,video-games,True
301,photography,photography,True
302,activities,general,False
303,cell-phones,cell-phones,True
304,cell-phones,cell-phones,True
305,general,general,True
306,real-estate,therapeutic,False
307,wanted-housing,shared,False
308,childcare,childcare,True
309,cell-phones,cell-phones,True
310,shared,shared,True
311,real-estate,real-estate,True
312,housing,housing,True
313,childcare,childcare,True
314,therapeutic,therapeutic,True
315,video-games,photography,False
316,housing,housing,True
317,video-games,video-games,True
318,video-games,appliances,False
319,artists,childcare,False
320,real-estate,real-estate,True
321,general,general,True
322,shared,shared,True
323,appliances,appliances,True
324,therapeutic,therapeutic,True
325,wanted-housing,therapeutic,False
326,real-estate,therapeutic,False
327,video-games,video-games,True
328,appliances,appliances,True
329,activities,activities,True
330,real-estate,automotive,False
331,real-estate,real-estate,True
332,cell-phones,cell-phones,True
333,cell-phones,cell-phones,True
334,shared,shared,True
335,wanted-housing,temporary,False
336,shared,temporary,False
337,therapeutic,therapeutic,True
338,appliances,appliances,True
339,childcare,childcare,True
340,video-games,appliances,False
341,childcare,childcare,True
342,artists,artists,True
343,photography,photography,True
344,therapeutic,therapeutic,True
345,shared,shared,True
346,childcare,childcare,True
347,therapeutic,therapeutic,True
348,shared,shared,True
349,temporary,temporary,True
350,therapeutic,therapeutic,True
351,childcare,childcare,True
352,temporary,temporary,True
353,wanted-housing,wanted-housing,True
354,real-estate,real-estate,True
355,artists,shared,False
356,automotive,automotive,True
357,wanted-housing,wanted-housing,True
358,automotive,automotive,True
359,wanted-housing,shared,False
360,cell-phones,cell-phones,True
361,therapeutic,therapeutic,True
362,photography,photography,True
363,shared,shared,True
364,temporary,temporary,True
365,shared,shared,True
366,shared,shared,True
367,therapeutic,therapeutic,True
368,temporary,temporary,True
369,cell-phones,cell-phones,True
370,cell-phones,cell-phones,True
371,household-services,household-services,True
372,artists,shared,False
373,shared,shared,True
374,cell-phones,cell-phones,True
375,childcare,childcare,True
376,cell-phones,cell-phones,True
377,shared,shared,True
378,appliances,appliances,True
379,general,general,True
380,therapeutic,therapeutic,True
381,temporary,temporary,True
382,video-games,appliances,False
383,cell-phones,cell-phones,True
384,shared,shared,True
385,real-estate,real-estate,True
386,cell-phones,cell-phones,True
387,shared,temporary,False
388,childcare,childcare,True
389,photography,appliances,False
390,cell-phones,cell-phones,True
391,therapeutic,therapeutic,True
392,wanted-housing,wanted-housing,True
393,shared,shared,True
394,childcare,childcare,True
395,temporary,temporary,True
396,photography,photography,True
397,cell-phones,cell-phones,True
398,temporary,shared,False
399,therapeutic,therapeutic,True
400,therapeutic,therapeutic,True
401,wanted-housing,wanted-housing,True
402,real-estate,therapeutic,False
403,temporary,artists,False
404,real-estate,therapeutic,False
405,shared,therapeutic,False
406,video-games,video-games,True
407,artists,general,False
408,video-games,appliances,False
409,video-games,video-games,True
410,childcare,childcare,True
411,therapeutic,therapeutic,True
412,household-services,shared,False
413,real-estate,wanted-housing,False
414,appliances,appliances,True
415,wanted-housing,wanted-housing,True
416,automotive,automotive,True
417,wanted-housing,wanted-housing,True
418,wanted-housing,temporary,False
419,cell-phones,cell-phones,True
420,cell-phones,cell-phones,True
421,shared,shared,True
422,temporary,temporary,True
423,wanted-housing,temporary,False
424,childcare,childcare,True
425,cell-phones,cell-phones,True
426,appliances,appliances,True
427,household-services,real-estate,False
428,therapeutic,therapeutic,True
429,video-games,video-games,True
430,household-services,household-services,True
431,general,household-services,False
432,therapeutic,shared,False
433,wanted-housing,wanted-housing,True
434,temporary,shared,False
435,appliances,appliances,True
436,cell-phones,appliances,False
437,shared,shared,True
438,household-services,household-services,True
439,household-services,shared,False
440,household-services,household-services,True
441,therapeutic,therapeutic,True
442,shared,shared,True
443,temporary,shared,False
444,childcare,childcare,True
445,automotive,therapeutic,False
446,temporary,shared,False
447,photography,photography,True
448,video-games,video-games,True
449,shared,shared,True
450,general,wanted-housing,False
451,automotive,automotive,True
452,childcare,childcare,True
453,photography,photography,True
454,housing,shared,False
455,automotive,real-estate,False
456,automotive,automotive,True
457,wanted-housing,shared,False
458,shared,shared,True
459,photography,appliances,False
460,temporary,shared,False
461,video-games,video-games,True
462,video-games,video-games,True
463,cell-phones,cell-phones,True
464,wanted-housing,temporary,False
465,artists,childcare,False
466,shared,shared,True
467,appliances,appliances,True
468,shared,shared,True
469,video-games,appliances,False
470,video-games,appliances,False
471,therapeutic,therapeutic,True
472,therapeutic,therapeutic,True
473,therapeutic,therapeutic,True
474,photography,photography,True
475,photography,photography,True
476,therapeutic,therapeutic,True
477,video-games,video-games,True
478,therapeutic,therapeutic,True
479,childcare,childcare,True
480,shared,shared,True
481,household-services,real-estate,False
482,wanted-housing,wanted-housing,True
483,appliances,appliances,True
484,shared,shared,True
485,real-estate,household-services,False
486,wanted-housing,wanted-housing,True
487,temporary,shared,False
488,household-services,household-services,True
489,cell-phones,appliances,False
490,temporary,shared,False
491,household-services,household-services,True
492,automotive,housing,False
493,activities,activities,True
494,photography,photography,True
495,general,wanted-housing,False
496,automotive,automotive,True
497,shared,shared,True
498,real-estate,household-services,False
499,childcare,childcare,True
500,therapeutic,therapeutic,True
501,household-services,household-services,True
502,shared,shared,True
503,appliances,appliances,True
504,shared,shared,True
505,automotive,automotive,True
506,therapeutic,therapeutic,True
507,temporary,shared,False
508,photography,appliances,False
509,temporary,temporary,True
510,general,childcare,False
511,artists,artists,True
512,therapeutic,household-services,False
513,photography,photography,True
514,temporary,shared,False
515,household-services,shared,False
516,temporary,shared,False
517,shared,shared,True
518,temporary,shared,False
519,temporary,temporary,True
520,photography,photography,True
521,video-games,video-games,True
522,appliances,appliances,True
523,wanted-housing,wanted-housing,True
524,artists,artists,True
525,therapeutic,therapeutic,True
526,video-games,video-games,True
527,general,shared,False
528,cell-phones,cell-phones,True
529,shared,shared,True
530,appliances,appliances,True
531,general,general,True
532,temporary,temporary,True
533,cell-phones,cell-phones,True
534,cell-phones,cell-phones,True
535,video-games,video-games,True
536,activities,wanted-housing,False
537,childcare,childcare,True
538,therapeutic,therapeutic,True
539,cell-phones,cell-phones,True
540,video-games,video-games,True
541,childcare,childcare,True
542,therapeutic,therapeutic,True
543,wanted-housing,wanted-housing,True
544,wanted-housing,wanted-housing,True
545,automotive,automotive,True
546,shared,shared,True
547,wanted-housing,shared,False
548,appliances,appliances,True
549,cell-phones,photography,False
550,shared,shared,True
551,appliances,appliances,True
552,temporary,shared,False
553,therapeutic,therapeutic,True
554,household-services,household-services,True
555,video-games,video-games,True
556,wanted-housing,wanted-housing,True
557,appliances,appliances,True
558,photography,photography,True
559,household-services,household-services,True
560,photography,photography,True
561,photography,appliances,False
562,photography,photography,True
563,housing,shared,False
564,household-services,household-services,True
565,wanted-housing,wanted-housing,True
566,photography,photography,True
567,therapeutic,therapeutic,True
568,household-services,household-services,True
569,real-estate,real-estate,True
570,wanted-housing,wanted-housing,True
571,automotive,wanted-housing,False
572,cell-phones,cell-phones,True
573,shared,shared,True
574,general,general,True
575,real-estate,real-estate,True
576,photography,photography,True
577,video-games,video-games,True
578,temporary,temporary,True
579,wanted-housing,shared,False
580,wanted-housing,wanted-housing,True
581,wanted-housing,wanted-housing,True
582,video-games,appliances,False
583,cell-phones,cell-phones,True
584,shared,shared,True
585,appliances,appliances,True
586,automotive,automotive,True
587,temporary,housing,False
588,artists,childcare,False
589,therapeutic,therapeutic,True
590,appliances,appliances,True
591,cell-phones,appliances,False
592,therapeutic,therapeutic,True
593,artists,artists,True
594,appliances,appliances,True
595,therapeutic,shared,False
596,wanted-housing,wanted-housing,True
597,temporary,temporary,True
598,childcare,childcare,True
599,appliances,appliances,True
600,temporary,shared,False
601,childcare,childcare,True
602,automotive,shared,False
603,automotive,automotive,True
604,therapeutic,therapeutic,True
605,photography,photography,True
606,therapeutic,therapeutic,True
607,temporary,shared,False
608,childcare,childcare,True
609,appliances,appliances,True
610,video-games,video-games,True
611,general,shared,False
612,photography,photography,True
613,childcare,childcare,True
614,temporary,shared,False
615,shared,shared,True
616,household-services,shared,False
617,appliances,appliances,True
618,childcare,childcare,True
619,automotive,automotive,True
620,childcare,childcare,True
621,household-services,household-services,True
622,video-games,appliances,False
623,wanted-housing,wanted-housing,True
624,temporary,shared,False
625,shared,temporary,False
626,cell-phones,cell-phones,True
627,therapeutic,therapeutic,True
628,temporary,shared,False
629,appliances,appliances,True
630,photography,photography,True
631,therapeutic,therapeutic,True
632,temporary,shared,False
633,household-services,therapeutic,False
634,appliances,appliances,True
635,household-services,household-services,True
636,wanted-housing,wanted-housing,True
637,automotive,automotive,True
638,cell-phones,cell-phones,True
639,activities,general,False
640,automotive,automotive,True
641,shared,shared,True
642,video-games,appliances,False
643,therapeutic,therapeutic,True
644,childcare,childcare,True
645,real-estate,shared,False
646,cell-phones,cell-phones,True
647,wanted-housing,wanted-housing,True
648,temporary,temporary,True
649,temporary,real-estate,False
650,photography,photography,True
651,household-services,household-services,True
652,household-services,household-services,True
653,video-games,video-games,True
654,household-services,childcare,False
655,video-games,video-games,True
656,wanted-housing,wanted-housing,True
657,video-games,appliances,False
658,shared,shared,True
659,photography,photography,True
660,housing,housing,True
661,cell-phones,cell-phones,True
662,appliances,appliances,True
663,household-services,shared,False
664,cell-phones,cell-phones,True
665,wanted-housing,shared,False
666,childcare,childcare,True
667,photography,video-games,False
668,cell-phones,cell-phones,True
669,household-services,household-services,True
670,automotive,automotive,True
671,household-services,household-services,True
672,shared,temporary,False
673,therapeutic,therapeutic,True
674,automotive,automotive,True
675,appliances,appliances,True
676,household-services,household-services,True
677,cell-phones,cell-phones,True
678,therapeutic,therapeutic,True
679,temporary,temporary,True
680,automotive,automotive,True
681,photography,photography,True
682,therapeutic,therapeutic,True
683,cell-phones,cell-phones,True
684,video-games,appliances,False
685,therapeutic,therapeutic,True
686,photography,appliances,False
687,cell-phones,appliances,False
688,shared,shared,True
689,video-games,appliances,False
690,video-games,video-games,True
691,cell-phones,cell-phones,True
692,shared,shared,True
693,shared,shared,True
694,general,general,True
695,general,shared,False
696,childcare,childcare,True
697,shared,shared,True
698,childcare,childcare,True
699,wanted-housing,wanted-housing,True
700,general,general,True
701,artists,childcare,False
702,video-games,video-games,True
703,photography,photography,True
704,general,childcare,False
705,shared,shared,True
706,household-services,shared,False
707,wanted-housing,wanted-housing,True
708,automotive,automotive,True
709,wanted-housing,temporary,False
710,shared,shared,True
711,therapeutic,therapeutic,True
712,activities,activities,True
713,real-estate,shared,False
714,childcare,childcare,True
715,real-estate,real-estate,True
716,shared,shared,True
717,cell-phones,cell-phones,True
718,appliances,appliances,True
719,cell-phones,appliances,False
720,cell-phones,cell-phones,True
721,automotive,automotive,True
722,cell-phones,cell-phones,True
723,housing,temporary,False
724,appliances,appliances,True
725,therapeutic,therapeutic,True
726,appliances,appliances,True
727,shared,shared,True
728,wanted-housing,wanted-housing,True
729,appliances,appliances,True
730,real-estate,household-services,False
731,appliances,appliances,True
732,household-services,household-services,True
733,photography,photography,True
734,shared,shared,True
735,automotive,automotive,True
736,video-games,appliances,False
737,automotive,automotive,True
738,wanted-housing,wanted-housing,True
739,shared,temporary,False
740,real-estate,shared,False
741,childcare,childcare,True
742,cell-phones,cell-phones,True
743,video-games,video-games,True
744,shared,temporary,False
745,appliances,appliances,True
746,childcare,general,False
747,wanted-housing,wanted-housing,True
748,childcare,childcare,True
749,household-services,real-estate,False
750,shared,shared,True
751,real-estate,real-estate,True
752,temporary,shared,False
753,shared,shared,True
754,appliances,appliances,True
755,photography,appliances,False
756,household-services,household-services,True
757,general,general,True
758,shared,shared,True
759,therapeutic,therapeutic,True
760,video-games,video-games,True
761,therapeutic,shared,False
762,artists,general,False
763,cell-phones,cell-phones,True
764,therapeutic,therapeutic,True
765,therapeutic,therapeutic,True
766,childcare,childcare,True
767,childcare,childcare,True
768,therapeutic,therapeutic,True
769,cell-phones,cell-phones,True
770,automotive,automotive,True
771,general,wanted-housing,False
772,real-estate,real-estate,True
773,cell-phones,cell-phones,True
774,appliances,appliances,True
775,temporary,shared,False
776,wanted-housing,wanted-housing,True
777,household-services,household-services,True
778,real-estate,appliances,False
779,cell-phones,cell-phones,True
780,cell-phones,cell-phones,True
781,automotive,automotive,True
782,cell-phones,cell-phones,True
783,therapeutic,therapeutic,True
784,shared,shared,True
785,appliances,appliances,True
786,real-estate,wanted-housing,False
787,shared,shared,True
788,video-games,photography,False
789,household-services,household-services,True
790,cell-phones,appliances,False
791,real-estate,household-services,False
792,general,wanted-housing,False
793,cell-phones,cell-phones,True
794,shared,shared,True
795,shared,shared,True
796,household-services,therapeutic,False
797,temporary,temporary,True
798,shared,shared,True
799,childcare,childcare,True
800,household-services,household-services,True
801,therapeutic,therapeutic,True
802,video-games,appliances,False
803,real-estate,real-estate,True
804,household-services,household-services,True
805,video-games,video-games,True
806,household-services,household-services,True
807,wanted-housing,wanted-housing,True
808,video-games,video-games,True
809,therapeutic,therapeutic,True
810,temporary,shared,False
811,photography,photography,True
812,shared,shared,True
813,real-estate,shared,False
814,therapeutic,therapeutic,True
815,childcare,childcare,True
816,appliances,appliances,True
817,therapeutic,therapeutic,True
818,automotive,shared,False
819,automotive,shared,False
820,appliances,appliances,True
821,shared,wanted-housing,False
822,photography,photography,True
823,temporary,shared,False
824,temporary,shared,False
825,activities,shared,False
826,automotive,automotive,True
827,shared,shared,True
828,temporary,shared,False
829,appliances,appliances,True
830,photography,photography,True
831,artists,childcare,False
832,cell-phones,cell-phones,True
833,real-estate,shared,False
834,shared,wanted-housing,False
835,general,childcare,False
836,shared,shared,True
837,video-games,video-games,True
838,temporary,shared,False
839,household-services,household-services,True
840,automotive,automotive,True
841,shared,shared,True
842,household-services,shared,False
843,shared,shared,True
844,video-games,video-games,True
845,temporary,shared,False
846,real-estate,real-estate,True
847,photography,photography,True
848,childcare,childcare,True
849,wanted-housing,wanted-housing,True
850,real-estate,automotive,False
851,shared,wanted-housing,False
852,therapeutic,therapeutic,True
853,wanted-housing,wanted-housing,True
854,wanted-housing,wanted-housing,True
855,appliances,appliances,True
856,shared,shared,True
857,automotive,automotive,True
858,household-services,household-services,True
859,shared,shared,True
860,temporary,temporary,True
861,household-services,household-services,True
862,wanted-housing,wanted-housing,True
863,cell-phones,cell-phones,True
864,household-services,household-services,True
865,therapeutic,therapeutic,True
866,childcare,childcare,True
867,cell-phones,cell-phones,True
868,video-games,video-games,True
869,video-games,video-games,True
870,therapeutic,therapeutic,True
871,therapeutic,therapeutic,True
872,real-estate,household-services,False
873,appliances,appliances,True
874,shared,shared,True
875,artists,therapeutic,False
876,childcare,childcare,True
877,temporary,wanted-housing,False
878,shared,shared,True
879,household-services,household-services,True
880,cell-phones,appliances,False
881,childcare,childcare,True
882,video-games,video-games,True
883,childcare,childcare,True
884,wanted-housing,shared,False
885,photography,photography,True
886,household-services,household-services,True
887,cell-phones,appliances,False
888,housing,housing,True
889,photography,photography,True
890,shared,shared,True
891,automotive,automotive,True
892,photography,appliances,False
893,automotive,automotive,True
894,general,general,True
895,photography,photography,True
896,housing,temporary,False
897,childcare,childcare,True
898,photography,appliances,False
899,shared,shared,True
900,household-services,shared,False
901,automotive,automotive,True
902,temporary,wanted-housing,False
903,video-games,video-games,True
904,childcare,shared,False
905,therapeutic,therapeutic,True
906,shared,temporary,False
907,housing,housing,True
908,appliances,appliances,True
909,childcare,childcare,True
910,wanted-housing,real-estate,False
911,cell-phones,cell-phones,True
912,shared,shared,True
913,cell-phones,appliances,False
914,cell-phones,cell-phones,True
915,video-games,video-games,True
916,shared,shared,True
917,real-estate,real-estate,True
918,cell-phones,cell-phones,True
919,therapeutic,therapeutic,True
920,household-services,therapeutic,False
921,automotive,shared,False
922,wanted-housing,wanted-housing,True
923,real-estate,real-estate,True
924,automotive,automotive,True
925,childcare,wanted-housing,False
926,shared,shared,True
927,shared,shared,True
928,shared,shared,True
929,household-services,household-services,True
930,appliances,appliances,True
931,real-estate,therapeutic,False
932,shared,shared,True
933,wanted-housing,wanted-housing,True
934,cell-phones,cell-phones,True
935,therapeutic,therapeutic,True
936,shared,shared,True
937,general,general,True
938,automotive,automotive,True
939,photography,appliances,False
940,video-games,video-games,True
941,cell-phones,cell-phones,True
942,childcare,childcare,True
943,cell-phones,cell-phones,True
944,shared,shared,True
945,automotive,automotive,True
946,appliances,appliances,True
947,appliances,appliances,True
948,shared,shared,True
949,photography,photography,True
950,automotive,therapeutic,False
951,activities,shared,False
952,photography,appliances,False
953,real-estate,household-services,False
954,cell-phones,cell-phones,True
955,childcare,shared,False
956,therapeutic,therapeutic,True
957,photography,photography,True
958,general,shared,False
959,wanted-housing,temporary,False
960,childcare,childcare,True
961,childcare,childcare,True
962,general,shared,False
963,shared,wanted-housing,False
964,appliances,appliances,True
965,appliances,appliances,True
966,temporary,temporary,True
967,household-services,household-services,True
968,real-estate,real-estate,True
969,shared,shared,True
970,appliances,appliances,True
971,shared,shared,True
972,appliances,appliances,True
973,appliances,appliances,True
974,automotive,automotive,True
975,appliances,appliances,True
976,household-services,childcare,False
977,cell-phones,cell-phones,True
978,general,general,True
979,shared,real-estate,False
980,cell-phones,cell-phones,True
981,therapeutic,therapeutic,True
982,childcare,childcare,True
983,temporary,shared,False
984,appliances,appliances,True
985,household-services,automotive,False
986,cell-phones,cell-phones,True
987,temporary,temporary,True
988,temporary,shared,False
989,photography,photography,True
990,household-services,household-services,True
991,therapeutic,therapeutic,True
992,video-games,appliances,False
993,artists,general,False
994,childcare,childcare,True
995,real-estate,real-estate,True
996,shared,shared,True
997,video-games,video-games,True
998,cell-phones,cell-phones,True
999,video-games,cell-phones,False
1000,shared,shared,True
1001,shared,shared,True
1002,therapeutic,therapeutic,True
1003,temporary,temporary,True
1004,temporary,shared,False
1005,cell-phones,appliances,False
1006,temporary,shared,False
1007,real-estate,real-estate,True
1008,photography,photography,True
1009,real-estate,real-estate,True
1010,video-games,appliances,False
1011,general,general,True
1012,childcare,childcare,True
1013,video-games,video-games,True
1014,temporary,temporary,True
1015,childcare,childcare,True
1016,shared,wanted-housing,False
1017,household-services,real-estate,False
1018,cell-phones,appliances,False
1019,childcare,general,False
1020,photography,photography,True
1021,automotive,automotive,True
1022,general,shared,False
1023,shared,shared,True
1024,video-games,video-games,True
1025,appliances,appliances,True
1026,wanted-housing,wanted-housing,True
1027,childcare,general,False
1028,household-services,automotive,False
1029,therapeutic,temporary,False
1030,therapeutic,therapeutic,True
1031,wanted-housing,wanted-housing,True
1032,temporary,shared,False
1033,real-estate,real-estate,True
1034,childcare,shared,False
1035,shared,shared,True
1036,automotive,automotive,True
1037,shared,temporary,False
1038,therapeutic,therapeutic,True
1039,video-games,video-games,True
1040,photography,photography,True
1041,general,general,True
1042,general,shared,False
1043,household-services,household-services,True
1044,photography,photography,True
1045,video-games,video-games,True
1046,temporary,shared,False
1047,therapeutic,therapeutic,True
1048,appliances,appliances,True
1049,cell-phones,appliances,False
1050,shared,shared,True
1051,shared,shared,True
1052,household-services,household-services,True
1053,artists,general,False
1054,therapeutic,therapeutic,True
1055,childcare,childcare,True
1056,therapeutic,therapeutic,True
1057,video-games,cell-phones,False
1058,therapeutic,therapeutic,True
1059,wanted-housing,wanted-housing,True
1060,video-games,video-games,True
1061,general,activities,False
1062,childcare,childcare,True
1063,wanted-housing,wanted-housing,True
1064,household-services,household-services,True
1065,appliances,appliances,True
1066,cell-phones,cell-phones,True
1067,temporary,temporary,True
1068,video-games,appliances,False
1069,therapeutic,therapeutic,True
1070,automotive,automotive,True
1071,therapeutic,therapeutic,True
1072,real-estate,household-services,False
1073,video-games,video-games,True
1074,therapeutic,therapeutic,True
1075,appliances,appliances,True
1076,childcare,childcare,True
1077,video-games,video-games,True
1078,shared,shared,True
1079,photography,appliances,False
1080,childcare,childcare,True
1081,cell-phones,cell-phones,True
1082,general,shared,False
1083,wanted-housing,wanted-housing,True
1084,cell-phones,cell-phones,True
1085,wanted-housing,wanted-housing,True
1086,therapeutic,therapeutic,True
1087,temporary,shared,False
1088,wanted-housing,wanted-housing,True
1089,temporary,temporary,True
1090,video-games,video-games,True
1091,shared,shared,True
1092,therapeutic,therapeutic,True
1093,real-estate,real-estate,True
1094,childcare,childcare,True
